Short_Name_Stocks,Ticker_Stocks_Yf,Ticker_Stocks,Secteur_Activite,Pays_Stocks,Place_Boursiere,Capitalisation_Boursiere,Nom_Indice,Ticker_Indice_Yf,Nombres_Entreprises,Ponderation
NVIDIA Corporation,NVDA,NVDA,Technology,United States,NMS,4301384581120,S&P 500,^GSPC,300,7.2
Microsoft Corporation,MSFT,MSFT,Technology,United States,NMS,3849859891200,S&P 500,^GSPC,300,6.45
Apple Inc.,AAPL,AAPL,Technology,United States,NMS,3643315585024,S&P 500,^GSPC,300,6.1
Alphabet Inc.,GOOGL,GOOGL,Communication Services,United States,NMS,3083407196160,S&P 500,^GSPC,300,5.16
Alphabet Inc.,GOOG,GOOG,Communication Services,United States,NMS,3083407458304,S&P 500,^GSPC,300,5.16
"Amazon.com, Inc.",AMZN,AMZN,Consumer Cyclical,United States,NMS,2468713857024,S&P 500,^GSPC,300,4.13
"Meta Platforms, Inc.",META,META,Communication Services,United States,NMS,1955400777728,S&P 500,^GSPC,300,3.27
Broadcom Inc.,AVGO,AVGO,Technology,United States,NMS,1628932538368,S&P 500,^GSPC,300,2.73
"Tesla, Inc.",TSLA,TSLA,Consumer Cyclical,United States,NMS,1416747155456,S&P 500,^GSPC,300,2.37
Berkshire Hathaway Inc. New,BRK-B,BRK-B,Financial Services,United States,NYQ,1063826751488,S&P 500,^GSPC,300,1.78
Oracle Corporation,ORCL,ORCL,Technology,United States,NYQ,877123403776,S&P 500,^GSPC,300,1.47
JP Morgan Chase & Co.,JPM,JPM,Financial Services,United States,NYQ,865567506432,S&P 500,^GSPC,300,1.45
Walmart Inc.,WMT,WMT,Consumer Defensive,United States,NYQ,815861858304,S&P 500,^GSPC,300,1.37
Eli Lilly and Company,LLY,LLY,Healthcare,United States,NYQ,674126495744,S&P 500,^GSPC,300,1.13
Visa Inc.,V,V,Financial Services,United States,NYQ,663045144576,S&P 500,^GSPC,300,1.11
Mastercard Incorporated,MA,MA,Financial Services,United States,NYQ,528087547904,S&P 500,^GSPC,300,0.88
"Netflix, Inc.",NFLX,NFLX,Communication Services,United States,NMS,521371844608,S&P 500,^GSPC,300,0.87
Exxon Mobil Corporation,XOM,XOM,Energy,United States,NYQ,480979550208,S&P 500,^GSPC,300,0.81
Palantir Technologies Inc.,PLTR,PLTR,Technology,United States,NMS,432691544064,S&P 500,^GSPC,300,0.72
Johnson & Johnson,JNJ,JNJ,Healthcare,United States,NYQ,424325251072,S&P 500,^GSPC,300,0.71
Costco Wholesale Corporation,COST,COST,Consumer Defensive,United States,NMS,421817647104,S&P 500,^GSPC,300,0.71
"Home Depot, Inc. (The)",HD,HD,Consumer Cyclical,United States,NYQ,413772283904,S&P 500,^GSPC,300,0.69
AbbVie Inc.,ABBV,ABBV,Healthcare,United States,NYQ,393006219264,S&P 500,^GSPC,300,0.66
Bank of America Corporation,BAC,BAC,Financial Services,United States,NYQ,387012984832,S&P 500,^GSPC,300,0.65
Procter & Gamble Company (The),PG,PG,Consumer Defensive,United States,NYQ,365209321472,S&P 500,^GSPC,300,0.61
Chevron Corporation,CVX,CVX,Energy,United States,NYQ,314735427584,S&P 500,^GSPC,300,0.53
GE Aerospace,GE,GE,Industrials,United States,NYQ,319340740608,S&P 500,^GSPC,300,0.53
UnitedHealth Group Incorporated,UNH,UNH,Healthcare,United States,NYQ,304931241984,S&P 500,^GSPC,300,0.51
Coca-Cola Company (The),KO,KO,Consumer Defensive,United States,NYQ,285892608000,S&P 500,^GSPC,300,0.48
Wells Fargo & Company,WFC,WFC,Financial Services,United States,NYQ,271139258368,S&P 500,^GSPC,300,0.45
"Cisco Systems, Inc.",CSCO,CSCO,Technology,United States,NMS,269647560704,S&P 500,^GSPC,300,0.45
"T-Mobile US, Inc.",TMUS,TMUS,Communication Services,United States,NMS,268041043968,S&P 500,^GSPC,300,0.45
"Advanced Micro Devices, Inc.",AMD,AMD,Technology,United States,NMS,255419367424,S&P 500,^GSPC,300,0.43
Morgan Stanley,MS,MS,Financial Services,United States,NYQ,255270060032,S&P 500,^GSPC,300,0.43
Philip Morris International Inc,PM,PM,Consumer Defensive,United States,NYQ,253646225408,S&P 500,^GSPC,300,0.42
International Business Machines,IBM,IBM,Technology,United States,NYQ,248156717056,S&P 500,^GSPC,300,0.42
"Goldman Sachs Group, Inc. (The)",GS,GS,Financial Services,United States,NYQ,243690471424,S&P 500,^GSPC,300,0.41
American Express Company,AXP,AXP,Financial Services,United States,NYQ,237379338240,S&P 500,^GSPC,300,0.4
Abbott Laboratories,ABT,ABT,Healthcare,United States,NYQ,236772032512,S&P 500,^GSPC,300,0.4
"Salesforce, Inc.",CRM,CRM,Technology,United States,NYQ,235229675520,S&P 500,^GSPC,300,0.39
Blackstone Inc.,BX,BX,Financial Services,United States,NYQ,230430736384,S&P 500,^GSPC,300,0.39
Linde plc,LIN,LIN,Basic Materials,United Kingdom,NMS,224612368384,S&P 500,^GSPC,300,0.38
"Caterpillar, Inc.",CAT,CAT,Industrials,United States,NYQ,218564149248,S&P 500,^GSPC,300,0.37
McDonald's Corporation,MCD,MCD,Consumer Cyclical,United States,NYQ,215779704832,S&P 500,^GSPC,300,0.36
RTX Corporation,RTX,RTX,Industrials,United States,NYQ,211810861056,S&P 500,^GSPC,300,0.35
AT&T Inc.,T,T,Communication Services,United States,NYQ,207432695808,S&P 500,^GSPC,300,0.35
"Uber Technologies, Inc.",UBER,UBER,Technology,United States,NYQ,205434585088,S&P 500,^GSPC,300,0.34
Walt Disney Company (The),DIS,DIS,Communication Services,United States,NYQ,204532957184,S&P 500,^GSPC,300,0.34
"Merck & Company, Inc.",MRK,MRK,Healthcare,United States,NYQ,203594317824,S&P 500,^GSPC,300,0.34
"ServiceNow, Inc.",NOW,NOW,Technology,United States,NYQ,199456899072,S&P 500,^GSPC,300,0.33
"Pepsico, Inc.",PEP,PEP,Consumer Defensive,United States,NMS,194080391168,S&P 500,^GSPC,300,0.33
Intuit Inc.,INTU,INTU,Technology,United States,NMS,191795527680,S&P 500,^GSPC,300,0.32
"Citigroup, Inc.",C,C,Financial Services,United States,NYQ,189023404032,S&P 500,^GSPC,300,0.32
"Arista Networks, Inc.",ANET,ANET,Technology,United States,NYQ,188039626752,S&P 500,^GSPC,300,0.31
"BlackRock, Inc.",BLK,BLK,Financial Services,United States,NYQ,176974135296,S&P 500,^GSPC,300,0.3
Verizon Communications Inc.,VZ,VZ,Communication Services,United States,NYQ,183325802496,S&P 500,^GSPC,300,0.31
"Micron Technology, Inc.",MU,MU,Technology,United States,NMS,182115221504,S&P 500,^GSPC,300,0.3
Thermo Fisher Scientific Inc,TMO,TMO,Healthcare,United States,NYQ,181095219200,S&P 500,^GSPC,300,0.3
QUALCOMM Incorporated,QCOM,QCOM,Technology,United States,NMS,180031160320,S&P 500,^GSPC,300,0.3
Booking Holdings Inc. Common St,BKNG,BKNG,Consumer Cyclical,United States,NMS,176453664768,S&P 500,^GSPC,300,0.3
Charles Schwab Corporation (The,SCHW,SCHW,Financial Services,United States,NYQ,171229642752,S&P 500,^GSPC,300,0.29
GE Vernova Inc.,GEV,GEV,Industrials,United States,NYQ,169914007552,S&P 500,^GSPC,300,0.28
Texas Instruments Incorporated,TXN,TXN,Technology,United States,NMS,163071934464,S&P 500,^GSPC,300,0.27
Boeing Company (The),BA,BA,Industrials,United States,NYQ,163065397248,S&P 500,^GSPC,300,0.27
Lam Research Corporation,LRCX,LRCX,Technology,United States,NMS,160632619008,S&P 500,^GSPC,300,0.27
"Intuitive Surgical, Inc.",ISRG,ISRG,Healthcare,United States,NMS,157270818816,S&P 500,^GSPC,300,0.26
"TJX Companies, Inc. (The)",TJX,TJX,Consumer Cyclical,United States,NYQ,155566571520,S&P 500,^GSPC,300,0.26
Adobe Inc.,ADBE,ADBE,Technology,United States,NMS,155214774272,S&P 500,^GSPC,300,0.26
S&P Global Inc.,SPGI,SPGI,Financial Services,United States,NYQ,154835943424,S&P 500,^GSPC,300,0.26
Amgen Inc.,AMGN,AMGN,Healthcare,United States,NMS,153653854208,S&P 500,^GSPC,300,0.26
"Applied Materials, Inc.",AMAT,AMAT,Technology,United States,NMS,151441735680,S&P 500,^GSPC,300,0.25
Amphenol Corporation,APH,APH,Technology,United States,NYQ,151320969216,S&P 500,^GSPC,300,0.25
Accenture plc,ACN,ACN,Technology,Ireland,NYQ,149297790976,S&P 500,^GSPC,300,0.25
"Lowe's Companies, Inc.",LOW,LOW,Consumer Cyclical,United States,NYQ,148730773504,S&P 500,^GSPC,300,0.25
"NextEra Energy, Inc.",NEE,NEE,Utilities,United States,NYQ,146374524928,S&P 500,^GSPC,300,0.25
Capital One Financial Corporati,COF,COF,Financial Services,United States,NYQ,146014601216,S&P 500,^GSPC,300,0.24
"Eaton Corporation, PLC",ETN,ETN,Industrials,Ireland,NYQ,145792843776,S&P 500,^GSPC,300,0.24
Boston Scientific Corporation,BSX,BSX,Healthcare,United States,NYQ,144959766528,S&P 500,^GSPC,300,0.24
Stryker Corporation,SYK,SYK,Healthcare,United States,NYQ,144064856064,S&P 500,^GSPC,300,0.24
Progressive Corporation (The),PGR,PGR,Financial Services,United States,NYQ,142108180480,S&P 500,^GSPC,300,0.24
"Gilead Sciences, Inc.",GILD,GILD,Healthcare,United States,NMS,141563658240,S&P 500,^GSPC,300,0.24
"Palo Alto Networks, Inc.",PANW,PANW,Technology,United States,NMS,139258281984,S&P 500,^GSPC,300,0.23
Danaher Corporation,DHR,DHR,Healthcare,United States,NYQ,138405609472,S&P 500,^GSPC,300,0.23
Intel Corporation,INTC,INTC,Technology,United States,NMS,138146349056,S&P 500,^GSPC,300,0.23
KLA Corporation,KLAC,KLAC,Technology,United States,NMS,137874571264,S&P 500,^GSPC,300,0.23
"Pfizer, Inc.",PFE,PFE,Healthcare,United States,NYQ,136623783936,S&P 500,^GSPC,300,0.23
Honeywell International Inc.,HON,HON,Industrials,United States,NMS,132928290816,S&P 500,^GSPC,300,0.22
KKR & Co. Inc.,KKR,KKR,Financial Services,United States,NYQ,137828040704,S&P 500,^GSPC,300,0.23
Union Pacific Corporation,UNP,UNP,Industrials,United States,NYQ,130830524416,S&P 500,^GSPC,300,0.22
Deere & Company,DE,DE,Industrials,United States,NYQ,126954799104,S&P 500,^GSPC,300,0.21
"CrowdStrike Holdings, Inc.",CRWD,CRWD,Technology,United States,NMS,126117502976,S&P 500,^GSPC,300,0.21
Medtronic plc.,MDT,MDT,Healthcare,Ireland,NYQ,121957769216,S&P 500,^GSPC,300,0.2
"Analog Devices, Inc.",ADI,ADI,Technology,United States,NMS,120691425280,S&P 500,^GSPC,300,0.2
"Automatic Data Processing, Inc.",ADP,ADP,Technology,United States,NMS,118272598016,S&P 500,^GSPC,300,0.2
Comcast Corporation,CMCSA,CMCSA,Communication Services,United States,NMS,116636803072,S&P 500,^GSPC,300,0.2
ConocoPhillips,COP,COP,Energy,United States,NYQ,114802778112,S&P 500,^GSPC,300,0.19
"DoorDash, Inc.",DASH,DASH,Consumer Cyclical,United States,NMS,113330520064,S&P 500,^GSPC,300,0.19
Lockheed Martin Corporation,LMT,LMT,Industrials,United States,NYQ,110414962688,S&P 500,^GSPC,300,0.18
Welltower Inc.,WELL,WELL,Real Estate,United States,NYQ,110483357696,S&P 500,^GSPC,300,0.19
"Interactive Brokers Group, Inc.",IBKR,IBKR,Financial Services,United States,NMS,110539341824,S&P 500,^GSPC,300,0.19
Chubb Limited,CB,CB,Financial Services,Switzerland,NYQ,109197295616,S&P 500,^GSPC,300,0.18
"Altria Group, Inc.",MO,MO,Consumer Defensive,United States,NYQ,109008125952,S&P 500,^GSPC,300,0.18
"Prologis, Inc.",PLD,PLD,Real Estate,United States,NYQ,105344434176,S&P 500,^GSPC,300,0.18
"Nike, Inc.",NKE,NKE,Consumer Cyclical,United States,NYQ,104697692160,S&P 500,^GSPC,300,0.18
Constellation Energy Corporatio,CEG,CEG,Utilities,United States,NMS,103375003648,S&P 500,^GSPC,300,0.17
"Cadence Design Systems, Inc.",CDNS,CDNS,Technology,United States,NMS,101734137856,S&P 500,^GSPC,300,0.17
Southern Company (The),SO,SO,Utilities,United States,NYQ,100984348672,S&P 500,^GSPC,300,0.17
Vertex Pharmaceuticals Incorpor,VRTX,VRTX,Healthcare,United States,NMS,98228387840,S&P 500,^GSPC,300,0.16
Intercontinental Exchange Inc.,ICE,ICE,Financial Services,United States,NYQ,97180270592,S&P 500,^GSPC,300,0.16
"Marsh & McLennan Companies, Inc",MMC,MMC,Financial Services,United States,NYQ,96741777408,S&P 500,^GSPC,300,0.16
Starbucks Corporation,SBUX,SBUX,Consumer Cyclical,United States,NMS,96119349248,S&P 500,^GSPC,300,0.16
Parker-Hannifin Corporation,PH,PH,Industrials,United States,NYQ,95626821632,S&P 500,^GSPC,300,0.16
CVS Health Corporation,CVS,CVS,Healthcare,United States,NYQ,95023013888,S&P 500,^GSPC,300,0.16
CME Group Inc.,CME,CME,Financial Services,United States,NMS,94250229760,S&P 500,^GSPC,300,0.16
Duke Energy Corporation (Holdin,DUK,DUK,Utilities,United States,NYQ,94154768384,S&P 500,^GSPC,300,0.16
"HCA Healthcare, Inc.",HCA,HCA,Healthcare,United States,NYQ,94135582720,S&P 500,^GSPC,300,0.16
"Synopsys, Inc.",SNPS,SNPS,Technology,United States,NMS,92038463488,S&P 500,^GSPC,300,0.15
Bristol-Myers Squibb Company,BMY,BMY,Healthcare,United States,NYQ,91635318784,S&P 500,^GSPC,300,0.15
American Tower Corporation (REI,AMT,AMT,Real Estate,United States,NYQ,90517643264,S&P 500,^GSPC,300,0.15
Trane Technologies plc,TT,TT,Industrials,Ireland,NYQ,90470293504,S&P 500,^GSPC,300,0.15
Newmont Corporation,NEM,NEM,Basic Materials,United States,NYQ,89765306368,S&P 500,^GSPC,300,0.15
Royal Caribbean Cruises Ltd.,RCL,RCL,Consumer Cyclical,United States,NYQ,89256845312,S&P 500,^GSPC,300,0.15
Dell Technologies Inc.,DELL,DELL,Technology,United States,NYQ,88712912896,S&P 500,^GSPC,300,0.15
"O'Reilly Automotive, Inc.",ORLY,ORLY,Consumer Cyclical,United States,NMS,88184266752,S&P 500,^GSPC,300,0.15
"Coinbase Global, Inc.",COIN,COIN,Financial Services,United States,NMS,87991042048,S&P 500,^GSPC,300,0.15
General Dynamics Corporation,GD,GD,Industrials,United States,NYQ,87175356416,S&P 500,^GSPC,300,0.15
"Waste Management, Inc.",WM,WM,Industrials,United States,NYQ,87172472832,S&P 500,^GSPC,300,0.15
