short_name_etf,ticker_etf_yf,ticker_etf,devise,place_boursiere_etf,volume_moyen,frais_pct
Amundi CAC 40 Daily (-2x) Inver,BX4.PA,BX4,EUR,PAR,13349470.0,0.6
Amundi EURO STOXX 50 Daily (-2x,BXX.PA,BXX,EUR,PAR,842374.0,0.6
iShares MSCI World Swap PEA UCI,WPEA.PA,WPEA,EUR,PAR,684088.0,
AMUNDI PEA MONDE MSCI World UCI,DCAM.PA,DCAM,EUR,PAR,563067.0,
Amundi ShortDAX Daily (-2x) Inv,DSD.PA,DSD,EUR,PAR,274818.0,0.6
Amundi MSCI Emerging Markets Sw,AEEM.PA,AEEM,EUR,PAR,255078.0,0.2
Amundi MSCI Greece UCITS ETF Di,GRE.PA,GRE,EUR,PAR,228283.0,0.45
AMUNDI STOXX EUROPE DEFENSE UCI,DEFS.PA,DEFS,EUR,PAR,219445.0,0.35
Amundi CAC 40 Daily (-1x) Inver,SHC.PA,SHC,EUR,PAR,179368.0,0.4
Amundi CAC 40 Daily (2x) Levera,LVC.PA,LVC,EUR,PAR,175562.0,0.4
HSBC HANG SENG TECH UCITS ETF,HSTE.PA,HSTE,EUR,PAR,168107.0,0.5
BNP Paribas Easy S&P 500 UCITS ,ESE.PA,ESE,EUR,PAR,137396.0,
Amundi STOXX Europe 600 Banks U,BNK.PA,BNK,EUR,PAR,118774.0,0.3
iShares Global Aerospace & Defe,DFND.PA,DFND,EUR,PAR,112646.0,0.35
BNP Paribas Easy Stoxx Europe 6,ETZ.PA,ETZ,EUR,PAR,102795.0,
Amundi MSCI World (2x) Leverage,LWLD.PA,LWLD,EUR,PAR,97541.0,
Amundi EURO STOXX 50 II UCITS E,MSE.PA,MSE,EUR,PAR,90951.0,0.2
BNP PARIBAS EASY Bloomberg Euro,GUARD.PA,GUARD,EUR,PAR,74733.0,
BNP PARIBAS EASY MSCI EMU Min T,EEMU.PA,EEMU,EUR,PAR,70263.0,
AMUNDI MSCI WORLD SCREENED UCIT,WLSC.PA,WLSC,EUR,PAR,56273.0,
Amundi MSCI USA Daily (2x) Leve,CL2.PA,CL2,EUR,PAR,54984.0,
AMUNDI PEA EURO COURT TERME UCI,OBLI.PA,OBLI,EUR,PAR,52056.0,0.4
BNP Paribas Easy MSCI Japan Min,EJAP.PA,EJAP,EUR,PAR,49648.0,
Amundi PEA S&P 500 UCITS ETF Ac,PSP5.PA,PSP5,EUR,PAR,49485.0,0.12
Amundi MSCI India Swap UCITS ET,INR.PA,INR,EUR,PAR,47276.0,0.85
BNP PARIBAS EASY MSCI Europe Mi,EEUE.PA,EEUE,EUR,PAR,47223.0,
BNP PARIBAS EASY MSCI Emerging ,EEMK.PA,EEMK,EUR,PAR,45333.0,
Amundi PEA Emergent (MSCI Emerg,PAEEM.PA,PAEEM,EUR,PAR,44200.0,
Amundi CAC 40 UCITS ETF Acc,CACC.PA,CACC,EUR,PAR,41841.0,0.25
Amundi PEA Chine (MSCI China) S,PASI.PA,PASI,EUR,PAR,41763.0,0.65
Amundi PEA Nasdaq-100 UCITS ETF,PUST.PA,PUST,EUR,PAR,41657.0,0.3
BNP Paribas Easy EURO STOXX 50 ,ETDD.PA,ETDD,EUR,PAR,40722.0,
HSBC MSCI CHINA ETF,CNY.PA,CNY,EUR,PAR,40101.0,0.3
Amundi EURO STOXX 50 Daily (-1x,BSX.PA,BSX,EUR,PAR,39213.0,0.4
BNP PARIBAS EASY ESG Enhanced E,AEMUS.PA,AEMUS,EUR,PAR,38832.0,
Amundi Smart Overnight Return U,CSH2.PA,CSH2,EUR,PAR,37881.0,0.1
Amundi MSCI USA Daily (-1x) Inv,DSP5.PA,DSP5,EUR,PAR,36814.0,0.6
Amundi PEA Asie Emergente (MSCI,PAASI.PA,PAASI,EUR,PAR,36014.0,
iShares iBonds Dec 2028 Term  C,B28A.PA,B28A,EUR,PAR,35053.0,
Amundi Core MSCI Europe UCITS E,CEU2.PA,CEU2,EUR,PAR,35029.0,0.12
VanEck Crypto and Blockchain In,DAPP.PA,DAPP,EUR,PAR,34455.0,0.65
AMUNDI MSCI USA SCREENED UCITS ,USAS.PA,USAS,EUR,PAR,33457.0,
Amundi CAC 40 UCITS ETF Dist,CAC.PA,CAC,EUR,PAR,33033.0,0.25
BNP PARIBAS EASY MSCI USA Min T,ENAM.PA,ENAM,EUR,PAR,32697.0,
Amundi Core S&P 500 Swap UCITS ,SP5.PA,SP5,EUR,PAR,28817.0,0.05
BNP Paribas Easy MSCI World Min,WEMT2.PA,WEMT2,EUR,PAR,28639.0,
Amundi Core Stoxx Europe 600 UC,MEUD.PA,MEUD,EUR,PAR,28231.0,0.07
VanEck Rare Earth and Strategic,REMX.PA,REMX,EUR,PAR,27883.0,0.59
Amundi Stoxx Europe Select Divi,SEL.PA,SEL,EUR,PAR,26777.0,0.3
iSh AI Innovation Active UCITS ,IART.PA,IART,EUR,PAR,26315.0,
Amundi MSCI Brazil UCITS ETF Ac,RIO.PA,RIO,EUR,PAR,26099.0,0.65
Amundi Core Nasdaq-100 Swap UCI,UST.PA,UST,EUR,PAR,25391.0,0.22
Amundi Core MSCI EMU UCITS ETF ,MFE.PA,MFE,EUR,PAR,24727.0,0.12
iShares S&P 500 Swap PEA UCITS ,SPEA.PA,SPEA,EUR,PAR,24347.0,
BNP Paribas Easy Bloomberg Barc,JBEM.PA,JBEM,EUR,PAR,24061.0,
VanEck Defense UCITS ETF,DFNS.PA,DFNS,EUR,PAR,23592.0,0.55
Amundi PEA S&P 500 UCITS ETF EU,PSPH.PA,PSPH,EUR,PAR,23327.0,0.12
Amundi PEA Inde (MSCI India) UC,PINR.PA,PINR,EUR,PAR,23323.0,0.85
AMUNDI MSCI SWITZERLAND UCITS E,CSW.PA,CSW,EUR,PAR,23298.0,0.25
iShares iBonds Dec 2027 Term  C,IB27.PA,IB27,EUR,PAR,22960.0,
iShares MSCI EM ex-China UCITS ,MTPI.PA,MTPI,EUR,PAR,22142.0,0.25
Amundi Euro Stoxx Banks UCITS E,BNKE.PA,BNKE,EUR,PAR,21978.0,0.3
Amundi Euro Government Green Bo,ERTH.PA,ERTH,EUR,PAR,21494.0,0.2
Amundi NYSE Arca Gold,GLDM.PA,GLDM,EUR,PAR,19235.0,0.65
Amundi PEA Amerique Latine (MSC,PALAT.PA,PALAT,EUR,PAR,18275.0,
Amundi EUR Corporate Bond ESG -,ECRP.PA,ECRP,EUR,PAR,17971.0,0.14
iShares MSCI Global Semiconduct,SEME.PA,SEME,EUR,PAR,17426.0,0.35
AMUNDI MSCI EM ASIA UCITS ETF -,AASI.PA,AASI,EUR,PAR,17312.0,0.2
Amundi MSCI World Swap UCITS ET,EWLD.PA,EWLD,EUR,PAR,16856.0,0.38
Amundi EURO STOXX 50 Daily (2x),LVE.PA,LVE,EUR,PAR,16518.0,0.4
Future of Defence UCITS ETF - A,NATO.PA,NATO,EUR,PAR,16009.0,
Amundi PEA S&P 500 Screened UCI,PE500.PA,PE500,EUR,PAR,16004.0,
Amundi PEA MSCI Europe UCITS ET,PCEU.PA,PCEU,EUR,PAR,15696.0,
Amundi PEA US Tech Screened UCI,PANX.PA,PANX,EUR,PAR,15584.0,
Amundi Core EURO STOXX 50 UCITS,C50.PA,C50,EUR,PAR,15433.0,0.09
Amundi MSCI World ESG Broad Tra,CLWD.PA,CLWD,EUR,PAR,14874.0,0.2
BNP Paribas Easy EUR Corp Bond ,SRIC.PA,SRIC,EUR,PAR,14539.0,
iShares iBonds Dec 2035 Term  C,IG35.PA,IG35,EUR,PAR,14525.0,
Amundi MSCI Europe ESG Selectio,ESGE.PA,ESGE,EUR,PAR,14062.0,0.2
Amundi European Strategic Auton,INDEP.PA,INDEP,EUR,PAR,13271.0,
BNP Paribas Easy S&P 500 Scored,SPEEU.PA,SPEEU,EUR,PAR,13214.0,
BNP PARIBAS EASY MSCI Pacific e,EPEJ.PA,EPEJ,EUR,PAR,13191.0,
Invesco S&P 500 High Dividend L,HDLV.PA,HDLV,EUR,PAR,13046.0,
SPDR S&P Euro Dividend Aristocr,EUDV.PA,EUDV,EUR,PAR,12879.0,0.3
BNP PARIBAS EASY ESG ENHANCED W,AWDSE.PA,AWDSE,EUR,PAR,12656.0,
AMUNDI MSCI EM LATIN AMERICA UC,ALAT.PA,ALAT,EUR,PAR,12340.0,0.2
Amundi PEA Japon (TOPIX) UCITS ,PTPXE.PA,PTPXE,EUR,PAR,11037.0,
Amundi MSCI Europe SRI Climate ,EUSRI.PA,EUSRI,EUR,PAR,10812.0,0.18
Amundi MSCI Semiconductors UCIT,CHIP.PA,CHIP,EUR,PAR,10692.0,0.35
SPDR MSCI All Country World Inv,IMIE.PA,IMIE,EUR,PAR,10530.0,0.4
Amundi S&P 500 Swap UCITS ETF E,500.PA,500,EUR,PAR,10203.0,0.15
Amundi EUR Overnight Return UCI,CSH.PA,CSH,EUR,PAR,10070.0,0.1
BNP Paribas Easy FTSE EPRA/NARE,EEE.PA,EEE,EUR,PAR,10049.0,
Amundi MSCI Eastern Europe Ex R,CEC.PA,CEC,EUR,PAR,9751.0,0.5
