Short_Name_Stocks,Ticker_Stocks_Yf,Ticker_Stocks,Secteur_Activite,Pays_Stocks,Place_Boursiere,Capitalisation_Boursiere,Nom_Indice,Ticker_Indice_Yf,Nombres_Entreprises,Ponderation
LVMH,MC.PA,MC,Consumer Cyclical,France,PAR,253623517184,CAC 40,^FCHI,40,10.38
HERMES INTL,RMS.PA,RMS,Consumer Cyclical,France,PAR,223194824704,CAC 40,^FCHI,40,9.13
L'OREAL,OR.PA,OR,Consumer Defensive,France,PAR,197099192320,CAC 40,^FCHI,40,8.06
AIRBUS SE,AIR.PA,AIR,Industrials,Netherlands,PAR,152631721984,CAC 40,^FCHI,40,6.25
SCHNEIDER ELECTRIC SE,SU.PA,SU,Industrials,France,PAR,130167250944,CAC 40,^FCHI,40,5.33
ESSILORLUXOTTICA,EL.PA,EL,Healthcare,France,PAR,126218878976,CAC 40,^FCHI,40,5.16
SAFRAN,SAF.PA,SAF,Industrials,France,PAR,122072145920,CAC 40,^FCHI,40,4.99
TOTALENERGIES,TTE.PA,TTE,Energy,France,PAR,112212647936,CAC 40,^FCHI,40,4.59
AIR LIQUIDE,AI.PA,AI,Basic Materials,France,PAR,101314445312,CAC 40,^FCHI,40,4.15
SANOFI,SAN.PA,SAN,Healthcare,France,PAR,98042822656,CAC 40,^FCHI,40,4.01
BNP PARIBAS ACT.A,BNP.PA,BNP,Financial Services,France,PAR,88980348928,CAC 40,^FCHI,40,3.64
AXA,CS.PA,CS,Financial Services,France,PAR,85101019136,CAC 40,^FCHI,40,3.48
VINCI,DG.PA,DG,Industrials,France,PAR,65568866304,CAC 40,^FCHI,40,2.68
THALES,HO.PA,HO,Industrials,France,PAR,50819006464,CAC 40,^FCHI,40,2.08
CREDIT AGRICOLE,ACA.PA,ACA,Financial Services,France,PAR,50379685888,CAC 40,^FCHI,40,2.06
DANONE,BN.PA,BN,Consumer Defensive,France,PAR,47498731520,CAC 40,^FCHI,40,1.94
SAINT GOBAIN,SGO.PA,SGO,Industrials,France,PAR,46497177600,CAC 40,^FCHI,40,1.9
ENGIE,ENGI.PA,ENGI,Utilities,France,PAR,43479019520,CAC 40,^FCHI,40,1.78
SOCIETE GENERALE,GLE.PA,GLE,Financial Services,France,PAR,44818800640,CAC 40,^FCHI,40,1.83
DASSAULT SYSTEMES,DSY.PA,DSY,Technology,France,PAR,36719054848,CAC 40,^FCHI,40,1.5
LEGRAND,LR.PA,LR,Industrials,France,PAR,36728815616,CAC 40,^FCHI,40,1.5
ORANGE,ORA.PA,ORA,Communication Services,France,PAR,36435460096,CAC 40,^FCHI,40,1.49
KERING,KER.PA,KER,Consumer Cyclical,France,PAR,32849958912,CAC 40,^FCHI,40,1.34
STELLANTIS NV,STLAP.PA,STLAP,Consumer Cyclical,Netherlands,PAR,24427051008,CAC 40,^FCHI,40,1.0
PERNOD RICARD,RI.PA,RI,Consumer Defensive,France,PAR,22367612928,CAC 40,^FCHI,40,0.92
MICHELIN,ML.PA,ML,Non disponible,Non disponible,PAR,22205091840,CAC 40,^FCHI,40,0.91
CAPGEMINI,CAP.PA,CAP,Technology,France,PAR,20941746176,CAC 40,^FCHI,40,0.86
STMICROELECTRONICS,STMPA.PA,STMPA,Technology,Netherlands,PAR,20991868928,CAC 40,^FCHI,40,0.86
VEOLIA ENVIRON.,VIE.PA,VIE,Industrials,France,PAR,21061728256,CAC 40,^FCHI,40,0.86
PUBLICIS GROUPE SA,PUB.PA,PUB,Communication Services,France,PAR,19914983424,CAC 40,^FCHI,40,0.81
BOUYGUES,EN.PA,EN,Industrials,France,PAR,14246511616,CAC 40,^FCHI,40,0.58
UNIBAIL-RODAMCO-WESTFIELD,URW.PA,URW,Real Estate,France,PAR,12664779776,CAC 40,^FCHI,40,0.52
BUREAU VERITAS,BVI.PA,BVI,Industrials,France,PAR,11453421568,CAC 40,^FCHI,40,0.47
EUROFINS SCIENT.,ERF.PA,ERF,Healthcare,Luxembourg,PAR,11109629952,CAC 40,^FCHI,40,0.45
RENAULT,RNO.PA,RNO,Consumer Cyclical,France,PAR,10253011968,CAC 40,^FCHI,40,0.42
ACCOR,AC.PA,AC,Consumer Cyclical,France,PAR,9781507072,CAC 40,^FCHI,40,0.4
CARREFOUR,CA.PA,CA,Consumer Defensive,France,PAR,8594010112,CAC 40,^FCHI,40,0.35
EDENRED,EDEN.PA,EDEN,Financial Services,France,PAR,4832040448,CAC 40,^FCHI,40,0.2
TELEPERFORMANCE,TEP.PA,TEP,Industrials,France,PAR,3808338944,CAC 40,^FCHI,40,0.16
ARCELORMITTAL SA,MT.AS,MT,Basic Materials,Luxembourg,AMS,22822291456,CAC 40,^FCHI,40,0.93
