date,close,ticker_etf_yf,short_name_etf
01-01-2008,69.81,BX4.PA,Amundi CAC 40 Daily (-2x) Inver
01-02-2008,71.36,BX4.PA,Amundi CAC 40 Daily (-2x) Inver
01-03-2008,73.26,BX4.PA,Amundi CAC 40 Daily (-2x) Inver
01-04-2008,65.25,BX4.PA,Amundi CAC 40 Daily (-2x) Inver
01-05-2008,62.57,BX4.PA,Amundi CAC 40 Daily (-2x) Inver
01-06-2008,77.78,BX4.PA,Amundi CAC 40 Daily (-2x) Inver
01-07-2008,78.54,BX4.PA,Amundi CAC 40 Daily (-2x) Inver
01-08-2008,75.48,BX4.PA,Amundi CAC 40 Daily (-2x) Inver
01-09-2008,87.51,BX4.PA,Amundi CAC 40 Daily (-2x) Inver
01-10-2008,98.5,BX4.PA,Amundi CAC 40 Daily (-2x) Inver
01-11-2008,102.73,BX4.PA,Amundi CAC 40 Daily (-2x) Inver
01-12-2008,101.17,BX4.PA,Amundi CAC 40 Daily (-2x) Inver
01-01-2009,115.85,BX4.PA,Amundi CAC 40 Daily (-2x) Inver
01-02-2009,137.17,BX4.PA,Amundi CAC 40 Daily (-2x) Inver
01-03-2009,121.56,BX4.PA,Amundi CAC 40 Daily (-2x) Inver
01-04-2009,92.83,BX4.PA,Amundi CAC 40 Daily (-2x) Inver
01-05-2009,81.2,BX4.PA,Amundi CAC 40 Daily (-2x) Inver
01-06-2009,85.8,BX4.PA,Amundi CAC 40 Daily (-2x) Inver
01-07-2009,70.25,BX4.PA,Amundi CAC 40 Daily (-2x) Inver
01-08-2009,60.76,BX4.PA,Amundi CAC 40 Daily (-2x) Inver
01-09-2009,56.06,BX4.PA,Amundi CAC 40 Daily (-2x) Inver
01-10-2009,60.78,BX4.PA,Amundi CAC 40 Daily (-2x) Inver
01-11-2009,57.16,BX4.PA,Amundi CAC 40 Daily (-2x) Inver
01-12-2009,49.25,BX4.PA,Amundi CAC 40 Daily (-2x) Inver
01-01-2010,54.2,BX4.PA,Amundi CAC 40 Daily (-2x) Inver
01-02-2010,54.41,BX4.PA,Amundi CAC 40 Daily (-2x) Inver
01-03-2010,47.23,BX4.PA,Amundi CAC 40 Daily (-2x) Inver
01-04-2010,50.38,BX4.PA,Amundi CAC 40 Daily (-2x) Inver
01-05-2010,53.45,BX4.PA,Amundi CAC 40 Daily (-2x) Inver
01-06-2010,54.0,BX4.PA,Amundi CAC 40 Daily (-2x) Inver
01-07-2010,47.53,BX4.PA,Amundi CAC 40 Daily (-2x) Inver
01-08-2010,51.105,BX4.PA,Amundi CAC 40 Daily (-2x) Inver
01-09-2010,44.605,BX4.PA,Amundi CAC 40 Daily (-2x) Inver
01-10-2010,41.605,BX4.PA,Amundi CAC 40 Daily (-2x) Inver
01-11-2010,45.85,BX4.PA,Amundi CAC 40 Daily (-2x) Inver
01-12-2010,40.96,BX4.PA,Amundi CAC 40 Daily (-2x) Inver
01-01-2011,36.8,BX4.PA,Amundi CAC 40 Daily (-2x) Inver
01-02-2011,34.83,BX4.PA,Amundi CAC 40 Daily (-2x) Inver
01-03-2011,36.515,BX4.PA,Amundi CAC 40 Daily (-2x) Inver
01-04-2011,34.07,BX4.PA,Amundi CAC 40 Daily (-2x) Inver
01-05-2011,34.19,BX4.PA,Amundi CAC 40 Daily (-2x) Inver
01-06-2011,33.965,BX4.PA,Amundi CAC 40 Daily (-2x) Inver
01-07-2011,39.51,BX4.PA,Amundi CAC 40 Daily (-2x) Inver
01-08-2011,48.07,BX4.PA,Amundi CAC 40 Daily (-2x) Inver
01-09-2011,54.21,BX4.PA,Amundi CAC 40 Daily (-2x) Inver
